shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
0.096216,0.136,0.164718,0.15312
0.114952,0.1388,0.119938,0.139403
0.173484,0.176,0.171244,0.0792063
0.169422,0.1568,0.121288,0.0943275
0.130849,0.2672,0.13299,0.14844
0.104169,0.1788,0.0828091,0.156468
0.162461,0.1044,0.108462,0.14934
0.173957,0.1116,0.100361,0.120682
0.126938,0.098,0.163368,0.0963077
0.147208,0.0844,0.09046,0.111141
0.21711,0.0668,0.0702077,0.12403
0.096247,0.1064,0.282856,0.121006
0.120566,0.0692,0.400319,0.120538
0.129052,0.0788,0.187896,0.147828
0.122691,0.1112,0.117913,0.1506
0.114815,0.1988,0.0247527,0.135623
0.087237,0.0876,0.0654822,0.197836
0.087183,0.062,0.111612,0.239815
0.117169,0.1488,0.219174,0.20194
0.103027,0.1888,0.422372,0.163309
0.10089,0.2672,0.462876,0.158341
0.093718,0.4964,0.431372,0.1942
0.143304,0.5704,0.463776,0.198628
0.105104,0.2548,0.0852844,0.165073
0.107745,0.1824,0.0445549,0.144083
0.135731,0.1012,0.201172,0.119674
0.054069,0.0864,0.102611,0.10028
0.046156,0.1416,0.176644,0.134831
0.102657,0.13,0.205223,0.126658
0.12372,0.186,0.0972107,0.0840307
0.166501,0.1664,0.169894,0.0595488
0.212927,0.056,0.0823591,0.0810785
0.117362,0.054,0.0834842,0.136991
0.104163,0.1544,0.0285781,0.158449
0.145144,0.0736,0.166743,0.129718
0.165343,0.1372,0.238751,0.0973518
0.129975,0.11,0.0677325,0.0915913
0.173219,0.1496,0.113863,0.116397
0.134052,0.062,0.161343,0.123382
0.070678,0.0564,0.112512,0.141023
0.100692,0.108,0.0796588,0.206368
0.128232,0.164,0.14064,0.258393
0.113793,0.2108,0.176644,0.231462
0.103766,0.0432,0.251803,0.206152
0.089419,0.1696,0.335737,0.196936
0.097197,0.1272,0.570663,0.150528
0.067545,0.4672,0.373316,0.106028
0.07215,0.54,0.633895,0.1061
0.078748,0.486,0.50023,0.135227
0.109618,0.3876,0.362065,0.145128
0.158565,0.1888,0.209948,0.123346
0.124601,0.146,0.240326,0.108225
0.111188,0.2036,0.0380292,0.127918
0.184186,0.1128,0.0834842,0.134471
0.155033,0.1084,0.183845,0.137747
0.08461,0.1164,0.162243,0.15486
0.034698,0.0956,0.207248,0.184191
0.048385,0.1276,0.162243,0.145344
0.098409,0.1492,0.111162,0.0950116
0.168779,0.1268,0.103961,0.0553724
0.195844,0.1988,0.0832592,0.0690175
0.106165,0.2492,0.128939,0.103832
0.080643,0.1784,0.238976,0.143435
0.142913,0.2204,0.145591,0.166621
0.179636,0.1076,0.0801088,0.156072
0.17431,0.1312,0.0672824,0.108477
0.211361,0.0784,0.176644,0.111033
0.098082,0.0652,0.118363,0.124606
0.112514,0.1712,0.114988,0.148872
0.168014,0.0652,0.296133,0.196468
0.148484,0.0828,0.407745,0.204532
0.069839,0.0636,0.31526,0.214685
0.059197,0.1136,0.287357,0.20662
