uniID,Count_,Shrub_Cov,Aspect,Slope,Elev,x_utm,y_utm,x_wgs,y_wgs
401,0,0.0869518,38.2902,24.4128,644,697540,4062360,-120.789059,36.686388
402,0,0.0242031,43.698,21.2565,636,697560,4062360,-120.788835,36.686384
403,0,0.050199,9.78241,10.4216,632,697580,4062360,-120.788611,36.68638
404,0,0.0573703,298.74,12.4605,634,697600,4062360,-120.788387,36.686376
405,0,0.0170318,281.31,16.0039,639,697620,4062360,-120.788164,36.686372
406,0,0.0179282,276.633,15.1395,645,697640,4062360,-120.78794,36.686367
407,0,0.00358564,277.696,13.135,650,697660,4062360,-120.787716,36.686363
408,0,0.00896411,282.995,9.46813,654,697680,4062360,-120.787493,36.686359
409,0,0.0340636,285.945,5.19967,656,697700,4062360,-120.787269,36.686355
410,0,0.00717129,71.565,1.13226,658,697720,4062360,-120.787045,36.686351
411,0,0.00986052,91.2189,16.3737,656,697740,4062360,-120.786822,36.686347
412,0,0.000896411,91.9749,19.9365,646,697760,4062360,-120.786598,36.686342
413,0,0.00986052,-9999,-9999,641,697780,4062360,-120.786374,36.686338
461,0,0.0250995,45,3.54048,685,697080,4062380,-120.794198,36.686664
462,0,0,0,4.28915,684,697100,4062380,-120.793975,36.68666
463,0,0.0564739,34.6952,5.64371,685,697120,4062380,-120.793751,36.686656
464,0,0.00179282,68.6294,8.77512,682,697140,4062380,-120.793527,36.686651
465,0,0.0242031,75.2564,7.00048,679,697160,4062380,-120.793304,36.686647
466,0,0.0277887,68.1986,3.85103,677,697180,4062380,-120.79308,36.686643
467,0,0.00896411,59.0362,2.08713,677,697200,4062380,-120.792856,36.686639
468,0,0.00358564,63.4349,1.60105,676,697220,4062380,-120.792633,36.686635
469,0,0.019721,18.4349,1.13226,676,697240,4062380,-120.792409,36.686631
470,0,0.0116533,0,1.4321,676,697260,4062380,-120.792185,36.686626
471,0,0.0188246,11.3099,1.82533,676,697280,4062380,-120.791961,36.686622
472,0,0,33.6901,2.58054,676,697300,4062380,-120.791738,36.686618
473,0,0.0179282,75.9638,5.88513,675,697320,4062380,-120.791514,36.686614
474,0,0.030478,88.3634,12.344,672,697340,4062380,-120.79129,36.68661
475,0,0.00986052,88.7811,16.3737,666,697360,4062380,-120.791067,36.686606
476,0,0.0250995,86.8779,18.9966,660,697380,4062380,-120.790843,36.686602
477,0,0.0403385,78.6901,17.6765,652,697400,4062380,-120.790619,36.686597
478,0,0.128187,52.5946,14.9766,647,697420,4062380,-120.790396,36.686593
479,0,0.105776,27.646,16.5062,643,697440,4062380,-120.790172,36.686589
480,0,0.080677,8.42697,18.8388,641,697460,4062380,-120.789948,36.686585
481,0,0.0770913,0.90938,21.4945,641,697480,4062380,-120.789724,36.686581
482,0,0.0340636,8.88066,22.0407,641,697500,4062380,-120.789501,36.686577
483,0,0.0896411,25.4976,24.2319,639,697520,4062380,-120.789277,36.686572
484,0,0.0645416,30.9638,25.3499,633,697540,4062380,-120.789053,36.686568
485,0,0.118326,23.7495,18.8505,629,697560,4062380,-120.78883,36.686564
486,0,0.0842626,339.228,10.9708,628,697580,4062380,-120.788606,36.68656
487,0,0.0250995,288.435,15.4667,632,697600,4062380,-120.788382,36.686556
488,0,0.015239,275.599,17.7591,639,697620,4062380,-120.788159,36.686552
489,0,0.0143426,270,16.0399,645,697640,4062380,-120.787935,36.686548
490,0,0.0134462,265.365,13.062,650,697660,4062380,-120.787711,36.686543
491,0,0.00896411,259.509,9.73818,654,697680,4062380,-120.787487,36.686539
492,0,0.015239,249.444,6.09608,657,697700,4062380,-120.787264,36.686535
493,0,0.00448205,135,2.02487,658,697720,4062380,-120.78704,36.686531
494,0,0.0179282,93.8141,15.7418,656,697740,4062380,-120.786816,36.686527
495,0,0.0116533,96.1155,19.3922,647,697760,4062380,-120.786593,36.686523
496,0,0.0125498,-9999,-9999,642,697780,4062380,-120.786369,36.686518
538,0,0.0125498,90,2.14759,693,696960,4062400,-120.795535,36.686869
539,0,0.0367528,116.565,1.60105,692,696980,4062400,-120.795312,36.686865
540,0,0,116.565,1.60105,692,697000,4062400,-120.795088,36.686861
541,0,0.000896411,105.255,4.07606,691,697020,4062400,-120.794864,36.686856
542,0,0.0636452,101.31,7.26463,689,697040,4062400,-120.794641,36.686852
543,0,0.0439241,95.7106,7.16018,686,697060,4062400,-120.794417,36.686848
544,0,0.0295816,80.5377,4.34809,684,697080,4062400,-120.794193,36.686844
545,0,0.030478,30.9638,2.08713,683,697100,4062400,-120.79397,36.68684
546,0,0.0394421,53.1301,3.57633,683,697120,4062400,-120.793746,36.686836
547,0,0.0179282,77.4712,6.57401,681,697140,4062400,-120.793522,36.686832
548,0,0.00537846,86.6335,6.07533,679,697160,4062400,-120.793298,36.686827
549,0,0.0376493,80.5377,4.34809,677,697180,4062400,-120.793075,36.686823
550,0,0.0224103,45,3.03572,676,697200,4062400,-120.792851,36.686819
551,0,0.0295816,29.0546,3.68178,676,697220,4062400,-120.792627,36.686815
552,0,0.00717129,18.4349,4.52023,675,697240,4062400,-120.792404,36.686811
553,0,0.00896411,3.81407,5.36764,675,697260,4062400,-120.79218,36.686807
554,0,0.000896411,7.12502,5.75474,675,697280,4062400,-120.791956,36.686802
555,0,0,14.0362,5.88513,674,697300,4062400,-120.791733,36.686798
556,0,0.0134462,40.9144,7.07192,674,697320,4062400,-120.791509,36.686794
557,0,0.00268923,69.444,12.0572,671,697340,4062400,-120.791285,36.68679
558,0,0.0484062,80.1342,16.2681,666,697360,4062400,-120.791061,36.686786
559,0,0.0107569,85.7636,18.6971,659,697380,4062400,-120.790838,36.686782
560,0,0.0206174,86.9872,19.6335,652,697400,4062400,-120.790614,36.686778
561,0,0.0681272,80.5377,16.9165,644,697420,4062400,-120.79039,36.686773
562,0,0.0582667,62.1027,13.5197,639,697440,4062400,-120.790167,36.686769
563,0,0.0779877,33.6901,12.6993,636,697460,4062400,-120.789943,36.686765
564,0,0.0627488,11.3099,14.3029,634,697480,4062400,-120.789719,36.686761
565,0,0.06992,12.2648,16.3947,634,697500,4062400,-120.789496,36.686757
566,0,0.113844,34.8245,19.3014,632,697520,4062400,-120.789272,36.686753
567,0,0.0367528,38.4802,17.2952,625,697540,4062400,-120.789048,36.686749
568,0,0.0493026,8.1301,10.025,624,697560,4062400,-120.788825,36.686744
569,0,0.0242031,304.216,10.7,625,697580,4062400,-120.788601,36.68674
570,0,0.0143426,280.008,17.9355,631,697600,4062400,-120.788377,36.686736
571,0,0.0206174,274.086,19.3356,638,697620,4062400,-120.788153,36.686732
572,0,0.0116533,270,17.354,645,697640,4062400,-120.78793,36.686728
573,0,0.0107569,264.289,14.1035,651,697660,4062400,-120.787706,36.686724
574,0,0.0179282,256.43,10.5618,655,697680,4062400,-120.787482,36.686719
575,0,0.0528882,244.983,5.90657,658,697700,4062400,-120.787259,36.686715
576,0,0.0080677,125.538,3.07752,659,697720,4062400,-120.787035,36.686711
577,0,0.019721,95.1944,15.4366,656,697740,4062400,-120.786811,36.686707
578,0,0.0170318,95.3893,18.4034,648,697760,4062400,-120.786588,36.686703
579,0,0.0125498,-9999,-9999,643,697780,4062400,-120.786364,36.686699
614,0,0.00358564,-9999,-9999,691,696820,4062420,-120.797096,36.687078
615,0,0.000896411,-9999,-9999,692,696840,4062420,-120.796873,36.687074
616,0,0.0215139,-9999,-9999,691,696860,4062420,-120.796649,36.68707
617,0,0.015239,-9999,-9999,690,696880,4062420,-120.796425,36.687066
618,0,0,-9999,-9999,690,696900,4062420,-120.796201,36.687061
619,0,0.00717129,313.668,7.22227,693,696920,4062420,-120.795978,36.687057
620,0,0.0295816,0,2.86241,693,696940,4062420,-120.795754,36.687053
621,0,0.0107569,18.4349,1.13226,693,696960,4062420,-120.79553,36.687049
622,0,0.0188246,108.435,1.13226,693,696980,4062420,-120.795307,36.687045
623,0,0.0331672,116.565,1.60105,692,697000,4062420,-120.795083,36.687041
624,0,0.0268923,108.435,3.39325,692,697020,4062420,-120.794859,36.687037
625,0,0.030478,101.31,7.26463,690,697040,4062420,-120.794636,36.687032
626,0,0.0448205,100.305,7.9558,687,697060,4062420,-120.794412,36.687028
627,0,0.0116533,101.31,5.46126,684,697080,4062420,-120.794188,36.687024
628,0,0.113844,75.9638,2.95035,683,697100,4062420,-120.793964,36.68702
629,0,0.0510954,51.3402,4.57614,683,697120,4062420,-120.793741,36.687016
630,0,0.0770913,60.2551,5.75474,681,697140,4062420,-120.793517,36.687012
631,0,0.0277887,71.565,5.64371,679,697160,4062420,-120.793293,36.687008
632,0,0.0080677,69.444,6.09608,677,697180,4062420,-120.79307,36.687003
633,0,0.0161354,45,5.55325,675,697200,4062420,-120.792846,36.686999
634,0,0.0224103,25.0169,5.90657,674,697220,4062420,-120.792622,36.686995
635,0,0.0206174,22.3801,6.55482,673,697240,4062420,-120.792399,36.686991
636,0,0.0179282,8.97263,6.85526,672,697260,4062420,-120.792175,36.686987
637,0,0.0107569,5.71059,7.16018,672,697280,4062420,-120.791951,36.686983
638,0,0.0430277,13.3925,7.68389,672,697300,4062420,-120.791727,36.686979
639,0,0.0430277,27.646,8.42796,671,697320,4062420,-120.791504,36.686974
640,0,0.0286851,58.3925,10.8024,669,697340,4062420,-120.79128,36.68697
641,0,0.015239,79.8245,13.9092,664,697360,4062420,-120.791056,36.686966
642,0,0.0107569,93.6522,16.4017,659,697380,4062420,-120.790833,36.686962
643,0,0.0313744,102.529,19.072,652,697400,4062420,-120.790609,36.686958
644,0,0.0340636,107.103,18.7799,645,697420,4062420,-120.790385,36.686954
645,0,0.0672308,103.736,16.1474,639,697440,4062420,-120.790162,36.686949
646,0,0.0752985,88.2643,11.659,633,697460,4062420,-120.789938,36.686945
647,0,0.110259,51.3402,9.09464,631,697480,4062420,-120.789714,36.686941
648,0,0.0735057,31.5043,12.8028,629,697500,4062420,-120.78949,36.686937
649,0,0.157768,37.875,15.9099,627,697520,4062420,-120.789267,36.686933
650,0,0.0672308,35.1342,11.659,623,697540,4062420,-120.789043,36.686929
651,0,0.0268923,343.61,6.31977,622,697560,4062420,-120.788819,36.686925
652,0,0.030478,295.017,11.6902,624,697580,4062420,-120.788596,36.68692
653,0,0.0394421,285.803,18.9966,630,697600,4062420,-120.788372,36.686916
654,0,0.0242031,284.264,20.8309,638,697620,4062420,-120.788148,36.686912
655,0,0.0250995,282.529,19.072,645,697640,4062420,-120.787925,36.686908
656,0,0,280.305,15.6161,651,697660,4062420,-120.787701,36.686904
657,0,0.0170318,279.162,11.1034,656,697680,4062420,-120.787477,36.6869
658,0,0.0475098,291.038,4.97519,659,697700,4062420,-120.787253,36.686895
659,0,0.0233067,50.7106,5.07621,659,697720,4062420,-120.78703,36.686891
660,0,0.00448205,73.8866,16.3174,657,697740,4062420,-120.786806,36.686887
661,0,0.0179282,77.3474,17.4256,648,697760,4062420,-120.786582,36.686883
662,0,0.0125498,-9999,-9999,644,697780,4062420,-120.786359,36.686879
691,0,0.00358564,-9999,-9999,680,696700,4062440,-120.798433,36.687283
692,0,0.00448205,280.305,9.2604,684,696720,4062440,-120.79821,36.687279
693,0,0.019721,259.992,6.15792,686,696740,4062440,-120.797986,36.687275
694,0,0.0412349,255.964,5.88513,688,696760,4062440,-120.797762,36.687271
695,0,0.00448205,251.565,4.52023,690,696780,4062440,-120.797538,36.687266
696,0,0,243.435,1.60105,691,696800,4062440,-120.797315,36.687262
697,0,0.0188246,26.5651,1.60105,691,696820,4062440,-120.797091,36.687258
698,0,0.0448205,30.9638,4.16874,690,696840,4062440,-120.796867,36.687254
699,0,0.0188246,32.4712,4.65874,689,696860,4062440,-120.796644,36.68725
700,0,0.00268923,18.4349,3.39325,688,696880,4062440,-120.79642,36.687246
701,0,0,303.69,5.15065,688,696900,4062440,-120.796196,36.687242
702,0,0.0116533,295.017,5.90657,691,696920,4062440,-120.795973,36.687237
703,0,0.0744021,329.036,2.08713,692,696940,4062440,-120.795749,36.687233
704,0,0.0134462,315,1.51893,692,696960,4062440,-120.795525,36.687229
705,0,0,45,0.506415,693,696980,4062440,-120.795301,36.687225
706,0,0.0475098,90,1.4321,692,697000,4062440,-120.795078,36.687221
707,0,0.03496,90,2.86241,692,697020,4062440,-120.794854,36.687217
708,0,0.0528882,93.0128,6.78145,690,697040,4062440,-120.79463,36.687213
709,0,0.0277887,101.31,7.26463,687,697060,4062440,-120.794407,36.687208
710,0,0.0385457,106.39,6.31977,685,697080,4062440,-120.794183,36.687204
711,0,0.157768,83.6598,6.45795,683,697100,4062440,-120.793959,36.6872
712,0,0.00986052,53.7462,6.63125,680,697120,4062440,-120.793736,36.687196
713,0,0.0224103,39.8056,5.57601,679,697140,4062440,-120.793512,36.687192
714,0,0.00896411,55.3048,5.64371,678,697160,4062440,-120.793288,36.687188
715,0,0,64.6538,7.48571,676,697180,4062440,-120.793064,36.687184
716,0,0.0125498,53.1301,7.12502,673,697200,4062440,-120.792841,36.687179
717,0,0,30.9638,6.23939,672,697220,4062440,-120.792617,36.687175
718,0,0.0412349,25.0169,5.90657,671,697240,4062440,-120.792393,36.687171
719,0,0.015239,15.9454,5.19967,670,697260,4062440,-120.79217,36.687167
720,0,0.0475098,14.0362,5.88513,670,697280,4062440,-120.791946,36.687163
721,0,0.0107569,20.2249,7.2126,669,697300,4062440,-120.791722,36.687159
