Shrub_ID,D1,D2,H,Volume,S.density grouping,Canopy,Skat.2013,Skat.2014,X,Y,RDM.2013,RDM.2014,Shrub.density,Dx,Burrows,Trails
368,2.4,1.74,1.03,2.25,6,4,0,0,696805.3229,4063450.592,6.940531731,5.68613863,0.005572358,,,
369,4.37,4.14,1.52,14.4,6,9,0,0,696820.9287,4063483.366,7.845846653,6.587285519,0.003504584,,,
370,2.8,2.68,1.29,5.07,6,6,0,0,696826.4172,4063485.713,8.98743248,6.176636696,0.003330104,,,
371,3.07,2.72,0.97,4.24,6,6,0,0,696823.9819,4063490.541,6.082514763,6.696731091,0.002968724,,,
372,3.4,2.1,0.93,3.48,6,6,0,0,696818.8484,4063496.084,11.70713234,6.082120419,0.002854859,,,
373,2.58,2.52,0.84,2.86,6,4,0,0,696807.2996,4063492.933,14.51264191,5.297467709,0.003040848,,,
374,2.42,2,1.02,2.58,6,4,0,0,696804.2873,4063491.753,15.34532452,4.986260891,0.003139315,,,
375,2.9,2.37,1.29,4.64,6,5,0,0,696809.0328,4063487.533,12.47602749,6.102143764,0.003489272,,,
376,2.18,1.9,0.62,1.34,6,6,0,0,696805.9999,4063479.47,8.262117386,6.902907848,0.004037675,,,
377,3.6,2.1,0.96,3.8,6,5,0,0,696806.4389,4063472.043,6.39999485,7.165541649,0.004791305,,,
378,3.48,2.77,1.23,6.21,6,6,0,0,696803.8757,4063462.992,6.436730385,7.137966633,0.004794042,,,
379,2.7,2.52,1.12,3.99,6,3,0,0,696797.9787,4063458.971,6.132053852,6.862883568,0.004198871,,,
380,1.72,1.6,0.78,1.12,6,0,0,0,696792.0612,4063451.953,6.501585007,7.098542213,0.005372751,,,
381,3,2.6,0.89,3.63,6,1,0,0,696784.9517,4063454.009,5.622995853,7.119779587,0.004827263,,,
382,2.3,2.1,0.84,2.12,6,0,0,0,696777.7732,4063451.291,5.979399204,7.72552824,0.00541383,,,
383,2.6,1.8,1.05,2.57,6,2,0,0,696775.6464,4063438.809,9.850551605,6.990270138,0.005665872,,,
384,3.76,2.32,1.12,5.12,6,8,0,0,696774.8269,4063435.571,8.019992828,6.682521343,0.00521945,5.883333333,1,1
385,2.1,1.64,1.08,1.95,6,0,0,0,696769.9026,4063435.902,6.688665867,6.373337746,0.005321749,,,
386,4.05,4,1.34,11.37,6,8,0,0,696755.8031,4063423.144,16.09552765,6.34960413,0.004331495,,,
387,6.1,5.9,1.88,35.43,6,6,0,0,696739.0361,4063413.656,20.48880768,4.801438332,0.004656838,,,
388,4.2,3.62,2.2,17.51,6,5,0,0,696729.9913,4063406.566,22.01841927,4.422090054,0.004505608,,,
389,4.6,4.4,1.32,13.99,6,6,0,0,696732.9938,4063419.845,19.17693329,3.773045301,0.005730011,,,
390,4.65,3.94,1.28,12.28,6,6,0,0,696727.1941,4063427.149,6.407128334,3.241764545,0.006635725,,,
391,4.88,4.6,2.24,26.33,6,7,0,0,696720.6075,4063414.231,8.515957832,4.212960243,0.006096708,,,
392,3.2,2.85,1.6,7.64,6,5,0,0,696717.6513,4063414.497,7.752520084,4.09000206,0.006248937,,,
393,4.68,3.72,1.64,14.95,6,5,0,0,696716.0733,4063401.472,13.90128613,5.565680981,0.005182552,,,
394,4.27,3.39,1.62,12.28,6,6,0,0,696714.3345,4063391.552,17.78108025,6.519314289,0.005232431,,,
395,3.42,3.38,1.39,8.41,3,5,0,0,696695.1138,4063372.128,15.60641956,5.446623802,0.002069751,,,
396,4.4,4.12,1.59,15.09,3,8,0,0,696695.8794,4063366.04,15.7794857,5.781353474,0.002505242,,,
397,4.42,4.17,1.52,14.67,3,2,0,0,696711.0709,4063354.622,19.81850243,4.926515102,0.003300349,,,
398,5.47,4.4,1.92,24.2,3,7,0,0,696706.3401,4063342.635,15.49472618,4.509942532,0.002351016,,,
399,3.88,2.94,1.4,8.36,3,5,0,0,696708.0835,4063336.792,11.33933067,4.221554756,0.001661014,,,
400,4.67,3.6,1.89,16.64,6,5,0,0,696731.3492,4063398.049,25.7274437,4.910651207,0.004451538,,,
401,8,6.28,1.73,45.51,6,5,0,0,696733.123,4063386.989,20.77031326,5.616609097,0.004617719,,,
402,4.99,4.77,1.88,23.43,3,9,0,0,696731.836,4063372.972,19.81850243,4.489028454,0.003836455,,,
403,3.72,3.63,1.77,12.51,3,9,0,0,696731.6546,4063369.193,17.06715584,3.842894077,0.003775454,,,
404,1.89,1.42,0.93,1.31,3,5,0,0,696728.0959,4063364.56,15.6115799,3.566681623,0.003081414,,,
405,3.67,3.2,1.38,8.49,3,5,0,0,696733.0785,4063350.021,9.085360527,2.857395411,0.003305723,,,
406,5.28,4.99,2.04,28.14,3,8,0,0,696726.5253,4063343.432,8.998916626,2.688232183,0.002854859,,,
407,1.67,1.43,0.89,1.11,3,4,0,0,696744.033,4063359.598,8.994326591,2.918984652,0.004409693,,,
408,5.2,4.89,1.57,20.9,3,5,0,0,696756.4913,4063381.531,10.73448849,3.882096291,0.003608033,,,
409,1.4,1.12,0.95,0.78,3,4,0,0,696760.6242,4063376.742,7.446050167,3.706275702,0.003733165,,,
410,5.27,4.5,1.73,21.48,3,7,0,0,696763.6442,4063377.589,6.642435074,3.550840139,0.003446119,,,
411,6.52,4.99,2.24,38.16,3,8,0,0,696766.0162,4063394.961,7.41644001,4.896422386,0.00276817,,,
412,5.3,4.7,2.08,27.13,3,9,0,0,696763.5666,4063338.178,6.704344749,3.033385754,0.003712231,,,
413,4.62,4.26,1.53,15.77,3,6,0,0,696773.5251,4063336.631,6.365278244,3.406037092,0.003508776,,,
