FID,pointid,shrub_cov,Elev,Slope,x_wgs,y_wgs,x_utm,y_utm,lat,lng
1353,1354,0.231087,-9999,3.6817801,-119.67327,35.160854,256509.2,3894150,,
1936,1937,0.230853,750,7.8290801,-119.665047,35.15779,257249.2,3893790,,
448,449,0.230646,765,1.4321001,-119.680057,35.167014,255909.2,3894850,,
1666,1667,0.230381,749,1.4321001,-119.668165,35.159164,256969.2,3893950,,
2330,2331,0.229521,735,7.0004802,-119.664971,35.155448,257249.2,3893530,,
2251,2252,0.229,724,4.1687398,-119.66915,35.155717,256869.2,3893570,,
2696,2697,0.228633,741,9.6490698,-119.664894,35.153107,257249.2,3893270,,
1710,1711,0.227596,744,4.0760598,-119.665527,35.159042,257209.2,3893930,,
125,126,0.227472,775,2.1475899,-119.6788,35.168844,256029.2,3895050,,
607,608,0.227338,765,1.82533,-119.679156,35.166313,255989.2,3894770,,
920,921,0.226545,754,4.1687398,-119.675581,35.164409,256309.2,3894550,,
2767,2768,0.225103,726,7.8290801,-119.666851,35.152523,257069.2,3893210,,
319,320,0.224267,769,2.8624101,-119.68205,35.16751,255729.2,3894910,,
431,432,0.223983,760,2.5304899,-119.683787,35.166931,255569.2,3894850,,
283,284,0.223905,769,3.1996,-119.682056,35.167691,255729.2,3894930,,
395,396,0.223299,765,2.7251401,-119.682477,35.16714,255689.2,3894870,,
84,85,0.222535,777,2.5805399,-119.678593,35.169209,256049.2,3895090,,
1839,1840,0.222105,740,3.64697,-119.665723,35.158316,257189.2,3893850,,
149,150,0.222068,774,3.23927,-119.678794,35.168664,256029.2,3895030,,
306,307,0.222029,774,4.0760598,-119.67701,35.167802,256189.2,3894930,,
1195,1196,0.221617,763,2.2636399,-119.67024,35.162183,256789.2,3894290,,
2768,2769,0.221526,732,10.2792997,-119.666631,35.152527,257089.2,3893210,,
581,582,0.220742,762,1.51893,-119.676968,35.166541,256189.2,3894790,,
506,507,0.22025,766,4.65874,-119.676322,35.166916,256249.2,3894830,,
1216,1217,0.22011,760,5.07621,-119.670673,35.161993,256749.2,3894270,,
633,634,0.219856,756,4.7666001,-119.680905,35.166094,255829.2,3894750,,
2497,2498,0.219499,737,13.1350002,-119.666252,35.154339,257129.2,3893410,,
600,601,0.219478,759,6.4187899,-119.680692,35.166279,255849.2,3894770,,
2413,2414,0.219193,737,11.9868002,-119.665831,35.154889,257169.2,3893470,,
1825,1826,0.21851,741,2.5805399,-119.668794,35.158249,256909.2,3893850,,
1997,1998,0.217986,746,8.8876495,-119.665255,35.157425,257229.2,3893750,,
85,86,0.217282,777,3.0775199,-119.678373,35.169214,256069.2,3895090,,
175,176,0.21711,773,4.0760598,-119.678788,35.168484,256029.2,3895010,,
251,252,0.216879,769,1.82533,-119.681623,35.16788,255769.2,3894950,,
